"",".","miRNA"
"hsa-mir-181d_hsa-miR-181d-5p",0.0023440681471021,"hsa-miR-181d-5p"
"hsa-mir-6126_hsa-miR-6126",0.000268112755637362,"hsa-miR-6126"
"hsa-mir-340_hsa-miR-340-3p",0.000879528351919574,"hsa-miR-340-3p"
"hsa-mir-1304_hsa-miR-1304-5p",0.0017821973915347,"hsa-miR-1304-5p"
"hsa-mir-1285-1_hsa-miR-1285-5p",0.00113500561954814,"hsa-miR-1285-5p"
"hsa-mir-29b-1_hsa-miR-29b-1-5p",0.000359886918857247,"hsa-miR-29b-1-5p"
"hsa-mir-33a_hsa-miR-33a-5p",0.00356137464682884,"hsa-miR-33a-5p"
"hsa-mir-671_hsa-miR-671-3p",0.000804633328963029,"hsa-miR-671-3p"
"hsa-let-7g_hsa-let-7g-3p",7.79984838470129e-05,"hsa-let-7g-3p"
"hsa-mir-378a_hsa-miR-378a-3p",0.00114719215965431,"hsa-miR-378a-3p"
"hsa-mir-4516_hsa-miR-4516",0.000523715715736217,"hsa-miR-4516"
"hsa-mir-135a-1_hsa-miR-135a-5p",0.00125559083002315,"hsa-miR-135a-5p"
"hsa-mir-377_hsa-miR-377-3p",0.000903638568552958,"hsa-miR-377-3p"
"hsa-mir-132_hsa-miR-132-5p",0.000272768357674809,"hsa-miR-132-5p"
"hsa-mir-34a_hsa-miR-34a-5p",0.00270731260033256,"hsa-miR-34a-5p"
"hsa-mir-15a_hsa-miR-15a-3p",0.000110810935028989,"hsa-miR-15a-3p"
"hsa-mir-1273c_hsa-miR-1273c",0.00153475914645442,"hsa-miR-1273c"
"hsa-mir-4443_hsa-miR-4443",0.00259381993527261,"hsa-miR-4443"
