"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-377_hsa-miR-377-3p",9.87223894660569,0.288734121940114,0.353641194187741,0.816460657541018,0.414236716276915,0.752803670312078,"hsa-miR-377-3p"
"hsa-mir-409_hsa-miR-409-5p",41.7813434748493,0.672560302694204,0.36548388443553,1.84019140469883,0.0657401414485475,0.405472094943663,"hsa-miR-409-5p"
"hsa-mir-409_hsa-miR-409-3p",708.712815897346,0.911094032563673,0.366043175965098,2.48903433361791,0.0128090595239713,0.23446938908941,"hsa-miR-409-3p"
"hsa-mir-412_hsa-miR-412-5p",6.98483401659822,0.39870056437432,0.440050605379064,0.906033441383124,0.364918152351646,0.726204734135417,"hsa-miR-412-5p"
"hsa-mir-369_hsa-miR-369-5p",9.37260982778683,0.26277170689936,0.409267174411998,0.642054196691657,0.52083799415527,0.818739074667107,"hsa-miR-369-5p"
"hsa-mir-369_hsa-miR-369-3p",17.9421635562483,-0.102288617523795,0.357708805488206,-0.28595498895866,0.774912596226137,0.913030225947494,"hsa-miR-369-3p"
"hsa-mir-410_hsa-miR-410-3p",9.70297942629122,0.424225944303555,0.397436829035962,1.0674047126749,0.285789121302578,0.683716450201977,"hsa-miR-410-3p"
"hsa-mir-656_hsa-miR-656-3p",4.59213142170823,-0.83346484257203,0.451477661917736,-1.84608212736757,0.0648802815154937,0.405421062604279,"hsa-miR-656-3p"
"hsa-mir-1247_hsa-miR-1247-5p",7.72270617255694,0.623624112259011,0.339899641985503,1.83473012391584,0.0665456865453054,0.405472094943663,"hsa-miR-1247-5p"
"hsa-mir-203a_hsa-miR-203a",181.180956689038,-0.633477024217006,0.280007730115067,-2.26235548553136,0.0236754488626508,0.267895169112517,"hsa-miR-203a"
"hsa-mir-4710_hsa-miR-4710",9.69645384521844,0.340416325659171,0.322224326283162,1.05645756043888,0.290759220346423,0.68774685641263,"hsa-miR-4710"
"hsa-mir-6765_hsa-miR-6765-5p",3.42494618995857,0.465748283236132,0.430577273796808,1.08168338549127,0.279393238208301,0.677957963285743,"hsa-miR-6765-5p"
"hsa-mir-1268a_hsa-miR-1268a",12.0079527624032,0.173824670912213,0.326717391411939,0.532033725419434,0.594702637504613,0.851374788005231,"hsa-miR-1268a"
"hsa-mir-4508_hsa-miR-4508",2484.72929773203,-0.218549170032212,0.277216920927508,-0.788368795458062,0.430481017758815,0.758526377158704,"hsa-miR-4508"
"hsa-mir-211_hsa-miR-211-5p",8.54934083805612,-0.247437472055296,0.35804922664331,-0.691071097611374,0.489520862327374,0.794364603466644,"hsa-miR-211-5p"
"hsa-mir-627_hsa-miR-627-5p",1190.59697232559,0.505766835896988,0.235748360031747,2.14536735623052,0.0319234869605047,0.297006663869585,"hsa-miR-627-5p"
"hsa-mir-627_hsa-miR-627-3p",17.1580337499603,-0.245036395474726,0.237146644983167,-1.03326950078555,0.301477796009512,0.694551592336043,"hsa-miR-627-3p"
"hsa-mir-147b_hsa-miR-147b",22.1276686939246,0.0524902958996878,0.271026993719566,0.193671837551355,0.846432844674906,0.941618775919757,"hsa-miR-147b"
"hsa-mir-628_hsa-miR-628-5p",17.298069551887,0.00337282678024068,0.291606707401085,0.0115663552814016,0.990771589460345,0.995452481247366,"hsa-miR-628-5p"
"hsa-mir-628_hsa-miR-628-3p",74.6298189546457,0.276450835521263,0.265370816561396,1.0417529670498,0.297526225014305,0.694551592336043,"hsa-miR-628-3p"
"hsa-mir-2116_hsa-miR-2116-5p",6.44325862397109,0.167765368929119,0.36545263132964,0.459061871626786,0.646189736045371,0.869897436734176,"hsa-miR-2116-5p"
"hsa-mir-2116_hsa-miR-2116-3p",14.2666092383355,0.277791190209246,0.356334457994697,0.779579925479393,0.435638175765607,0.763126288370436,"hsa-miR-2116-3p"
